,location,location_id,direction,position,ons,offs,total,lifts,period
2507,NE Glisan & 108th,2020,E,OP,2,1,3,0,Fall2018
2508,NE Glisan & 108th,2021,W,NS,1,0,1,0,Fall2018
2509,NE Glisan & 113th,2024,E,NS,1,1,2,0,Fall2018
2510,NE Glisan & 113th,2025,W,NS,1,0,1,0,Fall2018
2511,NE Glisan & 117th,2028,E,NS,0,1,1,1,Fall2018
2512,NE Glisan & 117th,2029,W,NS,2,0,2,0,Fall2018
3393,NW Glisan & 12th,2030,W,NS,16,59,75,8,Fall2018
2513,NE Glisan & 120th,2032,E,OP,1,4,5,1,Fall2018
2516,NE Glisan & 122nd,2034,W,NS,4,7,11,3,Fall2018
2517,NE Glisan & 126th,2036,E,FS,0,0,0,0,Fall2018
2519,NE Glisan & 128th,2037,W,FS,2,1,3,1,Fall2018
2520,NE Glisan & 133rd,2040,E,NS,0,2,2,0,Fall2018
2521,NE Glisan & 133rd,2041,W,OP,2,0,2,0,Fall2018
2522,NE Glisan & 136th,2042,E,NS,0,2,2,0,Fall2018
2523,NE Glisan & 136th,2043,W,OP,5,0,5,0,Fall2018
2524,NE Glisan & 139th,2044,E,NS,1,3,4,0,Fall2018
3394,NW Glisan & 14th,2046,W,NS,13,53,66,3,Fall2018
2525,NE Glisan & 141st,2047,W,OP,3,1,4,0,Fall2018
2526,NE Glisan & 141st,2048,E,FS,0,3,3,0,Fall2018
2527,NE Glisan & 143rd,2049,E,NS,0,0,0,0,Fall2018
2528,NE Glisan & 143rd,2050,W,OP,0,0,0,0,Fall2018
2529,NE Glisan & 146th,2051,E,NS,0,1,1,0,Fall2018
2530,NE Glisan & 148th,2053,E,FS,0,1,1,2,Fall2018
2531,NE Glisan & 148th,2054,W,FS,2,0,2,0,Fall2018
2532,NE Glisan & 152nd,2057,W,NS,1,0,1,0,Fall2018
2534,NE Glisan & 155th,2058,E,OP,1,3,4,0,Fall2018
2535,NE Glisan & 155th,2059,W,NS,4,1,5,0,Fall2018
2536,NE Glisan & 157th,2060,E,NS,1,2,3,0,Fall2018
2537,NE Glisan & 157th,2061,W,FS,4,1,5,2,Fall2018
3395,NW Glisan & 16th,2062,W,NS,1,16,17,4,Fall2018
2544,NE Glisan & 160th,2063,E,FS,0,3,3,1,Fall2018
2545,NE Glisan & 160th,2064,W,NS,2,0,2,0,Fall2018
2546,NE Glisan & 162nd,2065,E,FS,3,10,13,7,Fall2018
2547,NE Glisan & 162nd,2066,W,FS,9,2,11,5,Fall2018
2548,NE Glisan & 165th,2067,E,NS,1,5,6,0,Fall2018
2549,NE Glisan & 165th,2068,W,NS,3,1,4,0,Fall2018
2550,NE Glisan & 167th Pl,2069,E,NS,0,0,0,0,Fall2018
2551,NE Glisan & 167th Pl,2070,W,NS,0,0,0,0,Fall2018
2552,NE Glisan & 172nd,2073,W,FS,2,0,2,0,Fall2018
2553,NE Glisan & 172nd,2074,E,FS,1,2,3,0,Fall2018
