location,location_id,direction,position,ons,offs,total,lifts
18000 Block SW Lower Boones Ferry,558,W,AT,2,19,21,3
SW Boones Ferry Rd & Siletz,562,N,NS,3,0,3,0
SW Boones Ferry Rd & Siletz,563,S,NS,0,4,4,0
Boones Ferry Rd & Spring Lane,564,N,NS,10,3,13,0
SW Boones Ferry Rd & Stephenson,565,N,FS,4,0,4,0
SW Boones Ferry Rd & Stephenson,566,W,FS,0,5,5,0
Boones Ferry Rd & Twin Fir,568,S,OP,1,4,5,0
Boones Ferry Rd & Twin Fir,569,N,FS,4,0,4,0
SW Lower Boones Ferry & Boones Ferry,570,E,FS,4,1,5,0
Boones Ferry Rd & West Sunset Dr,576,S,NS,1,1,2,0
Boones Ferry Rd & West Sunset Dr,577,N,OP,1,0,1,0
SW Boones Ferry Rd & 19th,580,E,FS,0,0,0,0
SW Boones Ferry Rd & 22nd,581,S,OP,0,5,5,0
SW Boones Ferry Rd & 4th,583,W,OP,0,1,1,0
SW Boones Ferry Rd & 4th,584,E,FS,0,0,0,0
 ,,,,,,,
TriMet Passenger Census - Fall 2019,9,,,,,,
All Day Ons and Offs by Location ID ,,,,,,,
 ,Weekday,,,,,,
 ,,,,,,Monthly,
Stop Location Location ID,Direction,Position,Ons,Offs,Total,,
SW Laurelwood & Brentwood,593,N,NS,0,0,0,0
SW Brentwood & 78th,595,E,NS,1,0,1,0
NW Bridge Ave & St Helens,596,N,NS,0,4,4,0
NW Bridge Ave & Germantown,597,N,OP,0,0,0,0
NW Bridge Ave & Germantown,598,S,NS,0,0,0,0
NW Bridge Ave & Springville,599,N,OP,0,2,2,0
NW Bridge Ave & Springville,600,S,NS,3,0,3,0
SW Broadway & Hall,607,S,FS,7,17,24,0
N Broadway & Benton,611,E,FS,7,17,24,3
SW Broadway & Lincoln,614,S,NS,0,2,2,0
SW Broadway & Market,616,S,FS,4,23,27,0
NE Broadway & M L King,622,W,FS,42,32,74,37
NW Broadway & Irving,625,N,NS,82,77,159,74
N Broadway & Vancouver,627,W,NS,16,31,47,31
NE Broadway & 12th,629,W,NS,167,110,277,186
NE Broadway & 16th,631,W,FS,106,64,170,42
NE Broadway & 2nd,633,W,NS,16,10,26,11
NE Broadway & 21st,634,W,FS,129,36,165,35
NE Broadway & 24th,635,W,FS,115,55,170,32
NE Broadway & 26th,636,E,FS,21,27,48,21
NE Broadway & 26th,637,W,FS,28,13,41,14
NE Broadway & 28th,638,E,FS,52,73,125,57
NE Broadway & 28th,639,W,NS,73,61,134,54
NE Broadway & 32nd,642,E,FS,72,71,143,27
NE Broadway & 33rd,644,W,FS,77,63,140,25
NE Broadway & 35th,646,E,FS,7,9,16,4
NE Broadway & 35th,647,W,NS,4,2,6,2
NE Broadway & 37th,648,E,NS,17,26,43,20
NE Broadway & 37th,649,W,NS,29,17,46,6
NE Broadway & 44th,650,W,NS,39,31,70,72
NE Broadway & 44th,651,E,FS,33,43,76,108
NE Broadway & 47th,653,E,NS,6,11,17,2
SW Broadway & 5th,654,W,NS,5,65,70,0
NE Broadway & 7th,655,W,NS,30,13,43,13
NE Broadway & 9th,656,W,NS,44,15,59,69
Bryant & Black Forest Ct,663,N,OP,0,0,0,0
Bryant & Chapman Way,664,N,FS,1,0,1,0
Bryant & Lakeview,665,N,NS,3,1,4,0
17500 Block Bryant,667,S,AT,0,1,1,0
Bryant & Lords Ln,668,N,NS,1,0,1,0
Bryant & Wildwood,669,S,FS,0,1,1,0
Kerr & Jefferson Pkwy,672,S,NS,4,7,11,0
4600 Block W Burnside,682,W,AT,0,1,1,0
W Burnside & SW Fischer Ln,685,E,NS,2,1,3,0
W Burnside & NW Barnes,686,N,OP,11,1,12,0
W Burnside & NW Barnes,687,W,FS,3,13,16,0
W Burnside & Mt. Calvary Cemetery,690,E,AT,8,2,10,1
 ,,,,,,,
TriMet Passenger Census - Fall 2019,10,,,,,,
All Day Ons and Offs by Location ID ,,,,,,,
 ,Weekday,,,,,,
 ,,,,,,Monthly,
Stop Location Location ID,Direction,Position,Ons,Offs,Total,,
W Burnside & Mt Calvary Cemetery,691,W,AT,1,12,13,0
9100 Block E Burnside,696,E,OP,11,20,31,4
9100 Block E Burnside,697,W,AT,17,12,29,6
E Burnside & SE Floral,701,E,NS,2,11,13,1
E Burnside & NE Floral,702,W,NS,9,3,12,0
E Burnside & NE Grand,704,E,NS,317,360,677,122
W Burnside & NW Hermosa,706,E,OP,3,0,3,0
W Burnside & NW Hermosa,707,W,FS,1,3,4,0
E Burnside & SE Laurelhurst,710,E,NS,1,9,10,0
E Burnside & NE Laurelhurst,711,W,NS,6,1,7,0
W Burnside & SW Tichner,712,E,FS,9,2,11,0
W Burnside & NW Macleay,713,W,FS,1,11,12,0
W Burnside & SW St Clair,718,E,NS,311,109,420,58
W Burnside & SW 13th,723,E,NS,155,78,233,75
W Burnside & SW 15th,725,E,NS,88,17,105,40
E Burnside & NE 18th,730,W,NS,31,15,46,11
E Burnside & SE 20th,740,E,NS,63,114,177,25
W Burnside & NW 20th Pl,742,W,NS,171,326,497,185
W Burnside & NW King,747,W,NS,40,122,162,55
W Burnside & NW 23rd,755,W,NS,81,319,400,68
E Burnside & SE 24th,759,E,FS,53,91,144,5
E Burnside & NE 24th,760,W,FS,89,39,128,3
E Burnside & SE 28th,763,E,NS,104,153,257,18
