location,location_id,direction,position,ons,offs,total,lifts
Boones Ferry Rd & West Sunset Dr,577,N,OP,1,0,1,0
SW Boones Ferry Rd & 19th,580,E,FS,1,0,1,0
SW Boones Ferry Rd & 22nd,581,S,OP,0,4,4,0
 ,,,,,,,
TriMet Passenger Census -Spring 2019,9,,,,,,
All Day Ons and Offs by Location ID ,,,,,,,
 ,Weekday,,,,,,
 ,,,,,,Monthly,
Stop Location Location ID,Direction,Position,Ons,Offs,Total,,
SW Boones Ferry Rd & 4th,583,W,OP,0,1,1,0
SW Boones Ferry Rd & 4th,584,E,FS,0,0,0,0
SW Laurelwood & Brentwood,593,N,NS,0,0,0,0
SW Brentwood & 78th,595,E,NS,2,0,2,0
NW Bridge Ave & St Helens,596,N,NS,0,3,3,0
NW Bridge Ave & Germantown,597,N,OP,0,0,0,0
NW Bridge Ave & Germantown,598,S,NS,0,0,0,0
NW Bridge Ave & Springville,599,N,OP,0,2,2,0
NW Bridge Ave & Springville,600,S,NS,4,0,4,0
NE Broadway & Grand,605,W,NS,6,23,29,18
SW Broadway & Hall,607,S,FS,7,8,15,1
N Broadway & Benton,611,E,FS,8,18,26,4
SW Broadway & Lincoln,614,S,NS,1,2,3,0
SW Broadway & Market,616,S,FS,3,18,21,0
NE Broadway & M L King,622,W,FS,40,20,60,44
NW Broadway & Irving,625,N,NS,81,71,152,73
N Broadway & Vancouver,627,W,NS,21,29,50,15
NE Broadway & 12th,629,W,NS,176,110,286,237
NE Broadway & 16th,631,W,FS,103,66,169,33
NE Broadway & 2nd,633,W,NS,14,9,23,41
NE Broadway & 21st,634,W,FS,127,33,160,37
NE Broadway & 24th,635,W,FS,112,56,168,42
NE Broadway & 26th,636,E,FS,16,30,46,24
NE Broadway & 26th,637,W,FS,29,14,43,21
NE Broadway & 28th,638,E,FS,54,75,129,63
NE Broadway & 28th,639,W,NS,76,61,137,41
NE Broadway & 32nd,642,E,FS,70,72,142,44
NE Broadway & 33rd,644,W,FS,73,66,139,39
NE Broadway & 35th,646,E,FS,5,10,15,4
NE Broadway & 35th,647,W,NS,5,2,7,3
NE Broadway & 37th,648,E,NS,6,24,30,16
NE Broadway & 37th,649,W,NS,20,5,25,5
NE Broadway & 44th,650,W,NS,39,28,67,76
NE Broadway & 44th,651,E,FS,29,43,72,104
NE Broadway & 47th,653,E,NS,5,10,15,1
SW Broadway & 5th,654,W,NS,13,135,148,10
NE Broadway & 7th,655,W,NS,30,10,40,15
NE Broadway & 9th,656,W,NS,49,15,64,55
Bryant & Black Forest Ct,663,N,OP,0,0,0,0
Bryant & Chapman Way,664,N,FS,0,0,0,0
Bryant & Lakeview,665,N,NS,4,1,5,0
17500 Block Bryant,667,S,AT,0,1,1,0
Bryant & Lords Ln,668,N,NS,0,0,0,0
Bryant & Wildwood,669,S,FS,0,0,0,0
Kerr & Jefferson Pkwy,672,S,NS,4,7,11,0
4600 Block W Burnside,682,W,AT,0,2,2,0
W Burnside & SW Fischer Ln,685,E,NS,2,0,2,0
 ,,,,,,,
TriMet Passenger Census -Spring 2019,10,,,,,,
All Day Ons and Offs by Location ID ,,,,,,,
 ,Weekday,,,,,,
 ,,,,,,Monthly,
Stop Location Location ID,Direction,Position,Ons,Offs,Total,,
W Burnside & NW Barnes,686,N,OP,11,1,12,2
W Burnside & NW Barnes,687,W,FS,2,16,18,2
W Burnside & Mt. Calvary Cemetery,690,E,AT,5,1,6,1
W Burnside & Mt Calvary Cemetery,691,W,AT,1,9,10,1
9100 Block E Burnside,696,E,OP,11,17,28,2
9100 Block E Burnside,697,W,AT,17,12,29,5
E Burnside & SE Floral,701,E,NS,3,10,13,0
E Burnside & NE Floral,702,W,NS,7,4,11,1
E Burnside & NE Grand,704,E,NS,340,391,731,145
W Burnside & NW Hermosa,706,E,OP,2,0,2,0
W Burnside & NW Hermosa,707,W,FS,1,3,4,0
E Burnside & SE Laurelhurst,710,E,NS,2,5,7,1
E Burnside & NE Laurelhurst,711,W,NS,5,2,7,1
W Burnside & SW Tichner,712,E,FS,13,2,15,0
W Burnside & NW Macleay,713,W,FS,1,14,15,1
W Burnside & SW 8th,715,E,NS,65,84,149,54
W Burnside & NW Park,716,W,NS,124,79,203,83
W Burnside & SW St Clair,718,E,NS,303,107,410,61
W Burnside & SW 13th,723,E,NS,147,80,227,89
W Burnside & SW 15th,725,E,NS,98,18,116,26
E Burnside & SE 16th,726,E,FS,32,59,91,13
E Burnside & NE 18th,730,W,NS,31,18,49,13
W Burnside & NW 19th,735,W,NS,69,118,187,44
