location,location_id,direction,position,ons,offs,total,lifts
 ,Weekday,,,,,,
 ,,,,,,Monthly,
Stop Location Location ID,Direction,Position,Ons,Offs,Total,,
2700 Block W Powell,8743,W,OP,93,54,147,72
27400 Block SE Eagle Creek Rd,13749,S,OP,0,0,0,0
27500 Block SE Eagle Creek Rd,10275,N,AT,0,0,0,0
27500 Block SE Hwy 224,9321,E,AT,0,1,1,0
27600 Block SE Hwy 224,9322,W,AT,0,0,0,0
"2800 Blk NE Brookwood Pkwy, Library",12875,N,AT,3,11,14,5
"2800 Blk NE Brookwood Pkwy, Library",13025,S,OP,5,0,5,3
2800 Block NE 92nd,20,N,AT,0,0,0,0
2800 Block NE 92nd,21,S,AT,0,0,0,0
2800 Block NE Riverside Way,9550,E,AT,1,11,12,0
2800 Block NW Glencoe,9938,N,OP,2,8,10,0
2800 Block NW Glencoe,9991,S,AT,8,1,9,0
2800 Block S Troutdale,5864,N,OP,0,0,0,0
2800 Block SE Powell Valley,4713,E,AT,4,12,16,4
2800 Block SE Powell Valley,4714,W,AT,7,4,11,4
2800 Block SW 185th,6945,N,AT,19,11,30,0
2800 Block SW Fairview,1620,W,AT,0,0,0,0
2800 Block SW Fairview,1622,S,OP,0,0,0,0
2800 Block SW Fairview,1623,N,AT,0,0,0,0
2800 Block SW Hocken,13325,N,AT,4,12,16,1
28200 Block SE Eagle Creek Rd,1556,S,AT,2,1,3,0
28400 Block SE Eagle Creek Rd,1557,N,AT,2,2,4,0
28400 Block SE Hwy 224,8947,N,AT,0,0,0,0
28400 Block SE Hwy 224,8948,E,OP,0,1,1,0
28th & Rex,7290,S,NS,0,4,4,0
2900 Block NE 181st,10699,S,AT,17,7,24,2
2900 Block NW Front,12965,S,AT,10,1,11,0
2900 Block Pacific Ave,4309,W,AT,35,139,174,48
2900 Block SW Fairview,1635,W,AT,0,1,1,0
2900 Block SW Fairview,1636,E,OP,0,0,0,0
2900 Block W Powell,4507,E,AT,15,19,34,1
2900 Block W Powell,4508,W,OP,19,11,30,2
29200 Block SE Eagle Creek Rd,9561,S,AT,0,1,1,0
29200 Block SE Eagle Creek Rd,9562,N,OP,0,0,0,0
29600 Block SE Eagle Creek Rd,8685,S,AT,0,1,1,0
29800 Block SE Hwy 211,2819,W,AT,0,0,0,0
29900 Block SE Eagle Creek Rd,7745,N,AT,2,0,2,0
2nd & Tumwater,11331,E,NS,3,6,9,0
300 Block Beavercreek Rd,6115,W,AT,18,2,20,2
300 Block E Main,9931,W,AT,1,0,1,0
300 Block N 1st,9997,S,AT,1,0,1,5
300 Block NE 122nd,6611,N,AT,15,54,69,37
300 Block NE Division,10602,W,AT,33,4,37,3
300 Block SW Lincoln,3397,E,AT,184,52,236,10
3000 Block NW Front,9881,N,OP,0,11,11,0
3000 Block S Troutdale,5865,S,AT,1,0,1,0
3000 Block SE Woodstock,6400,W,OP,5,1,6,0
 ,,,,,,,
TriMet Passenger Census -Fall 2018,9,,,,,,
All Day Ons and Offs by Stop Location ,,,,,,,
 ,Weekday,,,,,,
 ,,,,,,Monthly,
Stop Location Location ID,Direction,Position,Ons,Offs,Total,,
3000 Block SW 185th,6946,S,AT,11,14,25,0
30900 Block NE Evergreen,9990,W,OP,0,0,0,0
3100 Block NE Dawson Creek,10005,N,AT,1,3,4,36
3100 Block NW 31st,13242,E,AT,17,3,20,1
3100 Block NW Bronson,13675,W,AT,8,5,13,0
3100 Block NW Bronson,13676,E,OP,4,10,14,0
3100 Block NW Division,1312,E,AT,6,15,21,1
3100 Block NW Glencoe,9993,S,AT,7,2,9,1
3100 Block SW Dosch,1510,S,AT,0,0,0,0
3300 Block NE Cornell,8546,W,AT,4,9,13,1
3300 Block NW 35th,10074,N,AT,1,10,11,1
3300 Block NW 35th,13238,S,OP,6,0,6,0
3300 Block NW Guam,10072,W,AT,0,3,3,2
3300 Block NW Guam,13240,E,OP,5,3,8,2
3300 Block SW 198th,13499,N,OP,17,47,64,7
3300 Block SW 198th,13705,S,AT,36,24,60,5
3300 Block SW Cedar Hills,995,N,AT,5,14,19,4
3300 Block SW Dosch,8416,N,AT,0,0,0,0
3400 Block McNary,11804,W,AT,0,2,2,0
3400 Block NE 92nd,25,N,AT,2,5,7,0
3400 Block SW Patton,4413,W,AT,0,0,0,0
3500 Block NE Columbia Blvd,1099,W,AT,3,12,15,0
3500 Block NE Columbia Blvd,1100,E,OP,5,3,8,0
3500 Block SE 182nd,13199,S,AT,1,17,18,1
3500 Block SW Dosch,1513,S,AT,0,0,0,0
3500 Block Willamette Falls Dr,13108,E,AT,0,0,0,0
3505 SW US Veterans Rd,9488,W,OP,52,40,92,1
3515 SW US Veterans Rd,10612,W,OP,69,97,166,1
3600 Block NE 122nd,6613,S,OP,28,11,39,3
3600 Block NW Front,8879,E,OP,13,3,16,0
3600 Block SE Woodstock,6408,W,OP,7,5,12,0
3600 Block SW Beaverton-Hillsdale,326,E,AT,6,3,9,1
3600 Block SW Beaverton-Hillsdale,327,W,OP,2,5,7,0
